value, keys inserted, insertion time (s), keys retrieved, retrieval time (s)
584, 100000,0.738568,100000,3.304444
585, 100000,0.298537,100000,4.696951
586, 100000,0.587010,100000,3.466239
587, 100000,0.504528,100000,3.775960
588, 100000,0.578773,100000,3.433242
589, 100000,0.721695,100000,8.774680
590, 100000,0.395312,100000,4.626564
591, 100000,0.492130,100000,3.806913
592, 100000,0.565882,100000,3.357763
593, 100000,0.567769,100000,3.561444
594, 100000,0.584466,100000,3.207397
595, 100000,0.328117,100000,4.482572
596, 100000,0.478853,100000,4.368526
597, 100000,0.424445,100000,3.893923
598, 100000,0.394207,100000,3.750178
599, 100000,0.591422,100000,3.367468
600, 100000,0.512260,100000,3.392149
601, 100000,0.430051,100000,3.723862
602, 100000,0.246560,100000,4.449879
603, 100000,0.413287,100000,3.699787
604, 100000,0.418093,100000,3.370433
605, 100000,0.511565,100000,3.339416
606, 100000,0.733043,100000,3.138468
607, 100000,0.410931,100000,3.977409
608, 100000,0.892448,100000,3.569651
609, 100000,0.985425,100000,4.030080
610, 100000,0.610843,100000,4.251403
611, 100000,0.223389,100000,4.548068
612, 100000,0.506101,100000,3.422453
613, 100000,0.328191,100000,3.541327
614, 100000,0.463803,100000,4.370643
615, 100000,0.504011,100000,3.720866
616, 100000,0.555891,100000,4.119750
617, 100000,0.652617,100000,3.297816
618, 100000,0.642625,100000,3.642718
619, 100000,0.455253,100000,4.306657
620, 100000,0.399558,100000,3.462315
621, 100000,0.445768,100000,3.577066
622, 100000,0.657002,100000,3.092825
623, 100000,0.619659,100000,3.288070
624, 100000,0.364827,100000,3.972134
625, 100000,0.279791,100000,4.389397
626, 100000,0.463910,100000,3.893707
627, 100000,0.413551,100000,3.471409
628, 100000,0.385830,100000,4.084004
629, 100000,0.551357,100000,3.613902
630, 100000,0.371610,100000,3.657391
631, 100000,0.250159,100000,4.741589
632, 100000,0.591739,100000,3.178162
633, 100000,0.612674,100000,4.795647
634, 100000,0.571407,100000,5.662559
635, 100000,0.624630,100000,3.213553
636, 100000,0.366557,100000,4.004950
637, 100000,0.419149,100000,3.633182
638, 100000,0.535477,100000,3.661015
639, 100000,0.361746,100000,3.999687
640, 100000,0.334986,100000,4.394677
641, 100000,0.460374,100000,3.647593
642, 100000,0.417304,100000,3.443194
643, 100000,0.638610,100000,3.202170
644, 100000,0.566451,100000,3.583332
645, 100000,0.624836,100000,3.784832
646, 100000,0.421049,100000,4.076568
647, 100000,0.575472,100000,3.544718
648, 100000,0.455880,100000,3.747543
649, 100000,0.656999,100000,3.283019
650, 100000,0.446328,100000,3.612777
651, 100000,0.446697,100000,4.064986
652, 100000,0.356293,100000,3.628144
653, 100000,0.587005,100000,3.448974
654, 100000,0.713242,100000,3.040402
655, 100000,0.541024,100000,3.677161
656, 100000,0.497888,100000,3.937443
657, 100000,0.439820,100000,3.613694
